d0,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,input,prev_input
67.23094525588644,60.959002616512684,56.0357029044876,55.94640292279746,56.753854494650845,62.0,74.72616676907762,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
65.0,58.89821729050889,55.47071299343465,55.036351623268054,55.78530272392541,62.0,73.49829930005184,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
63.631753079732135,58.137767414994535,54.08326913195984,55.036351623268054,55.78530272392541,61.0,73.49829930005184,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
62.76941930590086,58.137767414994535,54.08326913195984,53.71219600798314,55.78530272392541,61.0,73.49829930005184,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
61.40032573203501,56.72741841473134,53.25410782277739,53.71219600798314,54.57105459856901,61.0,73.49829930005184,85.0,92.65527507918802,101.53324578678651,90.0499861188218,,
60.53924347066124,55.31726674375732,53.25410782277739,52.392747589718944,54.57105459856901,60.0,72.53275122315436,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
59.16924876994806,55.31726674375732,51.86520991955976,51.478150704935004,53.600373133029585,60.0,72.53275122315436,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
57.8013840664737,53.150729063673246,51.03920062069938,50.566787519082126,52.630789467763066,59.0,72.53275122315436,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
56.938563381947034,51.73973328110612,49.64876634922564,50.566787519082126,52.630789467763066,59.0,72.53275122315436,85.0,92.65527507918802,101.53324578678651,90.0499861188218,w,
54.70831746635972,50.32891812864648,48.25971404805462,49.24428900898052,55.78530272392541,58.0,72.53275122315436,85.0,91.83681179135085,101.53324578678651,90.0499861188218,w,w
52.478567053607705,48.91829923454004,46.87216658103186,48.33218389437829,54.57105459856901,57.0,71.56814934033156,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,w
51.10772935672255,47.50789408087881,46.04345773288535,47.01063709417264,53.600373133029585,55.0,70.60453243241541,85.0,91.83681179135085,101.53324578678651,90.0499861188218,,
48.877397639399746,46.09772228646444,44.654227123532216,45.18849411078001,52.630789467763066,55.0,69.3757882838098,85.90692637965812,91.83681179135085,101.53324578678651,90.0499861188218,,
46.647615158762406,43.93176527297759,43.266615305567875,43.86342439892262,55.78530272392541,53.0,68.41052550594829,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,
44.41846462902562,42.5205832509386,42.43819034784589,42.5440947723653,54.57105459856901,52.0,68.41052550594829,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,a
43.04648650006177,41.10960958218893,41.048751503547585,41.6293165929973,58.9406481131655,51.0,68.41052550594829,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,a
40.8166632639171,38.948684188300895,38.27531841800928,40.311288741492746,76.40026177965623,51.0,67.446274915669,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,a
38.58756276314948,36.87817782917155,37.44329045369811,38.48376280978771,76.40026177965623,55.0,67.446274915669,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,a
37.21558813185679,34.713109915419565,35.22782990761707,37.16180835212409,76.40026177965623,51.0,68.41052550594829,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,a
34.9857113690718,33.301651610693426,33.83784863137726,36.24913792078372,76.40026177965623,51.0,69.3757882838098,84.09518416651456,91.83681179135085,101.53324578678651,90.0499861188218,a,a
32.7566787083184,39.698866482558415,33.28663395418648,42.5440947723653,76.40026177965623,52.0,71.56814934033156,36.6742416417845,90.44335243676011,101.53324578678651,90.0499861188218,a,a
31.38470965295043,39.698866482558415,32.449961479175904,41.6293165929973,76.40026177965623,53.0,73.49829930005184,36.6742416417845,90.44335243676011,101.53324578678651,90.0499861188218,a,a
30.528675044947494,38.948684188300895,32.449961479175904,39.395431207184416,76.40026177965623,54.0,79.81227975693966,37.57658845611187,89.62700485902673,101.53324578678651,90.0499861188218,a,a
30.528675044947494,38.948684188300895,32.449961479175904,37.16180835212409,76.40026177965623,56.0,78.84795495128583,37.57658845611187,89.05054744357274,101.53324578678651,90.0499861188218,a,a
31.38470965295043,39.698866482558415,38.8329756778952,41.6293165929973,53.600373133029585,60.0,78.84795495128583,38.91015291668744,87.65842800324451,101.53324578678651,90.0499861188218,a,a
33.61547262794322,36.87817782917155,41.048751503547585,43.86342439892262,52.630789467763066,62.0,78.84795495128583,38.91015291668744,86.83893136145792,100.7670581092849,90.0499861188218,a,a
39.44616584663204,41.10960958218893,43.266615305567875,47.01063709417264,53.600373133029585,68.0,78.84795495128583,37.57658845611187,31.622776601683793,99.35793878699377,90.0499861188218,a,a
43.9089968002003,43.93176527297759,46.87216658103186,51.478150704935004,60.876925020897694,76.0,77.62087348130012,37.57658845611187,33.83784863137726,97.94896630388705,90.0499861188218,a,a
48.877397639399746,50.32891812864648,51.03920062069938,55.94640292279746,63.06346010171025,76.0,76.6550715869472,37.57658845611187,31.622776601683793,95.77577981932593,90.0499861188218,w,a
53.33854141237835,53.150729063673246,56.0357029044876,67.11929677819934,68.15423684555495,76.0,75.69015788066504,36.6742416417845,31.622776601683793,95.13148795220224,90.0499861188218,w,w
59.16924876994806,58.89821729050889,63.245553203367585,68.0294054067798,74.46475676452586,75.0,74.72616676907762,36.6742416417845,31.622776601683793,92.9569792968769,90.0499861188218,w,w
65.86349520030045,65.94694837519019,68.24221567329127,72.49827584156743,78.587530817554,74.0,73.49829930005184,37.57658845611187,79.63039620647382,91.54780172128658,90.0499861188218,d,w
69.46221994724903,73.7563556583431,74.06078584514209,79.20227269466452,77.3692445355388,73.0,71.56814934033156,38.91015291668744,81.8413098624405,90.13878188659973,90.0499861188218,d,d
81.12336284942828,80.15609770940699,79.05694150420949,82.34682750416071,77.3692445355388,72.0,70.60453243241541,72.01388754955533,76.02631123499285,88.72992730753249,90.0499861188218,d,d
87.8179936004006,85.14693182963201,84.0535543567314,82.34682750416071,76.40026177965623,71.0,69.3757882838098,70.68238818828917,74.63243262818116,87.32124598286491,90.0499861188218,d,d
89.1852005660132,87.96590248499699,89.05054744357274,82.34682750416071,76.40026177965623,70.0,68.41052550594829,69.77822009767804,73.23933369440222,86.55634003352961,90.0499861188218,d,d
89.1852005660132,90.78546139112804,91.2633551870629,82.34682750416071,75.43208866258443,69.0,67.446274915669,68.4470598345904,72.42237223399962,101.53324578678651,90.0499861188218,w,d
89.1852005660132,92.9569792968769,91.2633551870629,81.43709228600933,75.43208866258443,69.0,66.48308055437865,68.4470598345904,71.84705978674423,83.73768566183328,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,66.48308055437865,67.54257916307313,71.02816342831905,82.3286098510111,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,69.3757882838098,72.01388754955533,71.02816342831905,80.91971329657564,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,65.25335240430181,66.2117814289874,69.63476143421474,80.91971329657564,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,65.25335240430181,66.2117814289874,68.81860213634101,79.51100552753688,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,65.25335240430181,66.2117814289874,68.81860213634101,78.74642849044012,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,65.25335240430181,65.30696746902278,71.02816342831905,77.33692520394123,90.0499861188218,w,w
89.1852005660132,94.36630754670864,89.87213138676528,81.43709228600933,75.43208866258443,68.0,65.25335240430181,65.30696746902278,66.85057965343307,75.92759709091287,87.8179936004006,w,w
89.1852005660132,94.36630754670864,86.2670273047588,81.43709228600933,75.43208866258443,68.0,64.28841264178172,67.54257916307313,66.85057965343307,74.51845409024533,85.58621384311844,w,w
89.1852005660132,94.36630754670864,84.87638069569178,80.11242100947892,75.43208866258443,67.0,64.28841264178172,63.97655820689325,66.03029607687671,74.51845409024533,83.35466393669883,w,w
89.1852005660132,94.36630754670864,84.87638069569178,80.11242100947892,75.43208866258443,67.0,63.324560795950255,63.97655820689325,66.03029607687671,73.10950690573696,81.98780397107853,w,w
89.1852005660132,94.36630754670864,84.87638069569178,80.11242100947892,74.46475676452586,67.0,63.324560795950255,63.97655820689325,64.63745044476924,71.7007670809734,80.62257748298549,w,w
89.1852005660132,94.36630754670864,86.2670273047588,80.11242100947892,74.46475676452586,67.0,62.36184731067546,63.071388124885914,63.8200595424354,70.2922470831599,86.45229898620394,w,w
89.1852005660132,95.01578816175763,86.2670273047588,80.11242100947892,74.46475676452586,67.0,62.36184731067546,61.741396161732524,63.8200595424354,69.52697318307479,77.52418977325722,w,w
89.1852005660132,95.01578816175763,86.2670273047588,80.11242100947892,74.46475676452586,66.0,66.48308055437865,60.83584469702052,66.03029607687671,68.11754546370561,75.29276193632427,w,w
89.1852005660132,95.01578816175763,88.48163651289458,80.11242100947892,74.46475676452586,66.0,61.1310068623117,60.83584469702052,62.42595614005443,66.70832032063167,73.92563831310488,w,w
89.1852005660132,95.01578816175763,88.48163651289458,80.11242100947892,74.46475676452586,65.0,60.166435825965294,59.50630218724736,61.032778078668514,65.29931086925804,71.69379331573968,d,w
89.1852005660132,95.01578816175763,88.48163651289458,80.11242100947892,74.46475676452586,65.0,59.20304046246274,58.60034129593445,59.64059020499378,63.89053137985315,69.46221994724903,d,d
89.1852005660132,95.01578816175763,88.48163651289458,79.20227269466452,73.24616030891995,65.0,59.20304046246274,57.697486947006624,58.82176467941097,61.71709649683789,68.09552114493287,w,d
89.1852005660132,95.01578816175763,88.48163651289458,79.20227269466452,73.24616030891995,65.0,59.20304046246274,56.36488268416781,56.61271941887264,60.30754513325841,65.86349520030045,w,w
89.1852005660132,95.01578816175763,87.09190547921202,79.20227269466452,73.24616030891995,65.0,59.20304046246274,56.36488268416781,56.0357029044876,58.89821729050889,63.631753079732135,w,w
89.1852005660132,95.01578816175763,88.48163651289458,79.20227269466452,73.24616030891995,65.0,59.20304046246274,55.46169849544819,56.0357029044876,57.48912940721924,62.26556030423239,d,w
89.1852005660132,95.01578816175763,87.09190547921202,79.20227269466452,73.24616030891995,65.0,57.97413216254298,55.46169849544819,54.644304369257,57.48912940721924,61.40032573203501,d,d
89.1852005660132,94.36630754670864,87.09190547921202,79.20227269466452,73.24616030891995,66.0,57.97413216254298,56.36488268416781,53.823786563191554,56.08029957123981,60.03332407921454,d,d
89.1852005660132,94.36630754670864,87.09190547921202,79.20227269466452,73.24616030891995,66.0,57.97413216254298,56.36488268416781,54.644304369257,56.08029957123981,58.66856057549052,w,d
89.1852005660132,94.36630754670864,87.09190547921202,79.20227269466452,73.24616030891995,67.0,57.97413216254298,55.46169849544819,54.644304369257,54.67174773134658,57.8013840664737,w,w
89.1852005660132,97.94896630388705,84.0535543567314,79.20227269466452,73.24616030891995,68.0,59.20304046246274,55.46169849544819,54.644304369257,57.48912940721924,57.8013840664737,w,w
89.1852005660132,92.19544457292888,82.66196223173026,79.20227269466452,73.24616030891995,68.0,60.166435825965294,56.36488268416781,54.644304369257,56.08029957123981,57.8013840664737,w,w
89.1852005660132,92.19544457292888,81.27115109311545,79.20227269466452,73.24616030891995,69.0,61.1310068623117,57.697486947006624,56.0357029044876,56.08029957123981,57.8013840664737,w,w
89.1852005660132,90.78546139112804,81.27115109311545,79.20227269466452,73.24616030891995,69.0,62.36184731067546,58.60034129593445,56.61271941887264,57.48912940721924,58.66856057549052,w,w
