d0,d1,d2,d3,d4,d5,d6,d7,d8,input,prev_input
94.36630754670864,77.6659513557904,76.96752561957543,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
94.36630754670864,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
94.36630754670864,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
94.36630754670864,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
85.7962703152066,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
85.7962703152066,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,76.05918747922567,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,85.9127464349732,,
86.55634003352961,77.6659513557904,77.87810988975015,75.43208866258443,81.0,66.48308055437865,75.15317691222374,76.02631123499285,101.53324578678651,,
